text,label
"had your contract mobile 11 mnths? latest motorola, nokia etc. all free! double mins & text on orange tariffs. text yes for callback, no to remove from records.",spam
hi. i'm sorry i missed your call. can you pls call back.,ham
well done and ! luv ya all ,ham
am okay. will soon be over. all the best,ham
you also didnt get na hi hi hi hi hi,ham
urgent! please call 09061743811 from landline. your abta complimentary 4* tenerife holiday or £5000 cash await collection sae t&cs box 326 cw25wx 150ppm,spam
enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only help? call: 09701213186 ,spam
she's fine. sends her greetings,ham
"that's cool he'll be here all night, lemme know when you're around",ham
jus finish my lunch on my way home lor... i tot u dun wan 2 stay in sch today...,ham
webpage s not available!,ham
just sing hu. i think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. even things like choosing a phone plan require guidance. when in doubt ask especially girls.,ham
"i shall book chez jules for half eight, if that's ok with you?",ham
gudnite....tc...practice going on,ham
i've told him that i've returned it. that should i re order it.,ham
wat time u finish ur lect today?,ham
eat jap done oso aft ur lect wat... ü got lect at 12 rite... ,ham
ill call you evening ill some ideas.,ham
two teams waiting for some players,ham
love it! the girls at the office may wonder why you are smiling but sore...,ham
must come later.. i normally bathe him in da afternoon mah..,ham
so its to be poking man everyday that they teach you in canada abi! how are you. just saying hi.,ham
where wuld i be without my baby? the thought alone mite break me and i dont wanna go crazy but everyboy needs his lady xxxxxxxx,ham
think you sent the text to the home phone. that cant display texts. if you still want to send it his number is,ham
can ü all decide faster cos my sis going home liao..,ham
bishan lar nearer... no need buy so early cos if buy now i gotta park my car...,ham
who's there say hi to our drugdealer,ham
yup. wun believe wat? u really neva c e msg i sent shuhui?,ham
thanks for yesterday sir. you have been wonderful. hope you enjoyed the burial. mojibiola,ham
i keep ten rs in my shelf:) buy two egg.,ham
this message is brought to you by gmw ltd. and is not connected to the,spam
sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry. ,ham
"all the lastest from stereophonics, marley, dizzee racal, libertines and the strokes! win nookii games with flirt!! click themob wap bookmark or text wap to 82468",spam
no problem baby. is this is a good time to talk? i called and left a message.,ham
wa... u so efficient... gee... thanx...,ham
gsoh? good with spam the ladies?u could b a male gigolo? 2 join the uk's fastest growing mens club reply oncall. mjzgroup. 08714342399.2stop reply stop. msg@£1.50rcvd,spam
if you text on your way to cup stop that should work. and that should be bus,ham
"that's fine, have him give me a call if he knows what he wants or has any questions",ham
you should get more chicken broth if you want ramen unless there's some i don't know about,ham
"yeah, in fact he just asked if we needed anything like an hour ago. when and how much?",ham
what happened to our yo date?,ham
yes but i don't care cause i know its there!,ham
missing you too.pray inshah allah,ham
how come?,ham
ok... sweet dreams...,ham
there are some nice pubs near here or there is frankie n bennys near the warner cinema?,ham
watever relation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,ham
yep then is fine 7.30 or 8.30 for ice age.,ham
no i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,ham
welp apparently he retired,ham
private! your 2003 account statement for 07808 xxxxxx shows 800 un-redeemed s. i. m. points. call 08719899217 identifier code: 41685 expires 07/11/04,spam
aiyah sorry lor... i watch tv watch until i forgot 2 check my phone.,ham
so how's the weather over there?,ham
finally the match heading towards draw as your prediction.,ham
its good to hear from you,ham
hey happy birthday...,ham
oh oh... den muz change plan liao... go back have to yan jiu again...,ham
is fujitsu s series lifebook good?,ham
so what did the bank say about the money?,ham
message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com,ham
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,spam
"excellent, i'll see what riley's plans are",ham
yar lor... how u noe? u used dat route too?,ham
hui xin is in da lib.,ham
i love to give massages. i use lots of baby oil... what is your fave position?,ham
the new deus ex game comin early next yr,ham
boy; i love u grl: hogolo boy: gold chain kodstini grl: agalla boy: necklace madstini grl: agalla boy: hogli 1 mutai eerulli kodthini! grl: i love u kano;-),ham
cant think of anyone with * spare room off * top of my head,ham
will it help if we propose going back again tomorrow,ham
today iz yellow rose day. if u love my frndship give me 1 misscall &amp; send this to ur frndz &amp; see how many miss calls u get. if u get 6missed u marry ur lover.,ham
long time. you remember me today.,ham
yes watching footie but worried we're going to blow it - phil neville?,ham
"hi jon, pete here, ive bin 2 spain recently & hav sum dinero left, bill said u or ur rents mayb interested in it, i hav 12,000pes, so around £48, tb, james.",ham
she ran off with a younger man. we will make pretty babies together :),ham
hard but true: how much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...,ham
thanks for your message. i really appreciate your sacrifice. i'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. i'm in class now. do have a wonderful day.,ham
i realise you are a busy guy and i'm trying not to be a bother. i have to get some exams outta the way and then try the cars. do have a gr8 day,ham
hai ana tomarrow am coming on morning.  &lt;decimal&gt;  ill be there in sathy then we ll go to rto office. reply me after came to home.,ham
"sorry, i can't help you on this.",ham
get me out of this dump heap. my mom decided to come to lowes. boring.,ham
im just wondering what your doing right now?,ham
nooooooo i'm gonna be bored to death all day. cable and internet outage.,ham
have you ever had one foot before?,ham
your 2004 account for 07xxxxxxxxx shows 786 unredeemed points. to claim call 08719181259 identifier code: xxxxx expires 26.03.05,spam
so i could kiss and feel you next to me...,ham
aiyo a bit pai seh ü noe... scared he dun rem who i am then die... hee... but he become better lookin oredi leh...,ham
gd luck 4 ur exams :-),ham
dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,spam
sry da..jst nw only i came to home..,ham
bloomberg -message center +447797706009 why wait? apply for your future http://careers. bloomberg.com,spam
left dessert. u wan me 2 go suntec look 4 u?,ham
is it your yahoo boys that bring in the perf? or legal.,ham
ok. i am a gentleman and will treat you with dignity and respect.,ham
"this weeks savamob member offers are now accessible. just call 08709501522 for details! savamob, pobox 139, la3 2wu. only £1.50/week. savamob - offers mobile!",spam
my sort code is  and acc no is . the bank is natwest. can you reply to confirm i've sent this to the right person!,ham
"i jus hope its true that  missin me cos i'm really missin him! you haven't done anything to feel guilty about, yet.",ham
lord of the rings:return of the king in store now!reply lotr by 2 june 4 chance 2 win lotr soundtrack cds stdtxtrate. reply stop to end txts,spam
like a personal sized or what,ham
free entry into our £250 weekly comp just send the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,spam
if i said anything wrong sorry de:-),ham
urgent! your mobile number has been awarded with a £2000 prize guaranteed. call 09058094455 from land line. claim 3030. valid 12hrs only,spam
freemsg: our records indicate you may be entitled to 3750 pounds for the accident you had. to claim for free reply with yes to this msg. to opt out text stop,spam
ur cash-balance is currently 500 pounds - to maximize ur cash-in now send collect to 83600 only 150p/msg. cc: 08718720201 po box 114/14 tcr/w1,spam
hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love pete xx,ham
"babe, i'm answering you, can't you see me ? maybe you'd better reboot ym ... i got the photo ... it's great !",ham
india have to take lead:),ham
ill be there on  &lt;#&gt;  ok.,ham
i need details about that online job.,ham
i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...,ham
dear how you. are you ok?,ham
ü give me some time to walk there.,ham
 what number do u live at? is it 11?,ham
i had it already..sabarish asked me to go..,ham
i tot u outside cos darren say u come shopping. of course we nice wat. we jus went sim lim look at mp3 player.,ham
nice.nice.how is it working?,ham
leave it. u will always be ignorant.,ham
goldviking (29/m) is inviting you to be his friend. reply yes-762 or no-762 see him: www.sms.ac/u/goldviking stop? send stop frnd to 62468,spam
all e best 4 ur exam later.,ham
"that's good, because i need drugs",ham
you are a big chic. common. declare,ham
"that means you got an a in epi, she.s fine. she.s here now.",ham
todays voda numbers ending with 7634 are selected to receive a £350 reward. if you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,spam
i love to cuddle! i want to hold you in my strong arms right now...,ham
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. can u 4fil theirs? text cute to 69911(£1.50p. m),spam
also maaaan are you missing out,ham
wat time ü wan today?,ham
i told that am coming on wednesday.,ham
cds 4u: congratulations ur awarded £500 of cd gift vouchers or £125 gift guaranteed & freeentry 2 £100 wkly draw xt music to 87066 tncs www.ldew.com1win150ppmx3age16 ,spam
urgent! your mobile number has been awarded with a £2000 prize guaranteed. call 09061790126 from land line. claim 3030. valid 12hrs only 150ppm,spam
i need you to be in my strong arms...,ham
go chase after her and run her over while she's crossing the street,ham
just do what ever is easier for you,ham
"i want some cock! my hubby's away, i need a real man 2 satisfy me. txt wife to 89938 for no strings action. (txt stop 2 end, txt rec £1.50ea. otbox 731 la1 7ws. )",spam
also andros ice etc etc,ham
haha... dont be angry with yourself... take it as a practice for the real thing. =) ,ham
o was not into fps then.,ham
so how are you really. what are you up to. how's the masters. and so on.,ham
"goodmorning, today i am late for  &lt;decimal&gt; min.",ham
congrats! nokia 3650 video camera phone is your call 09066382422 calls cost 150ppm ave call 3mins vary from mobiles 16+ close 300603 post bcm4284 ldn wc1n3xx,spam
excellent! are you ready to moan and scream in ecstasy?,ham
"night sweet, sleep well! i've just been to see the exorcism of emily rose and may never sleep again! hugs and snogs! ",ham
do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08000776320 now or reply for delivery tomorrow,spam
"eerie nokia tones 4u, rply tone title to 8007 eg tone dracula to 8007 titles: ghost, addamsfa, munsters, exorcist, twilight www.getzed.co.uk pobox36504w45wq 150p ",spam
"aight, text me tonight and we'll see what's up",ham
alrite,ham
you are a winner you have been specially selected to receive £1000 cash or a £2000 award. speak to a live operator to claim call 087123002209am-7pm. cost 10p,spam
yup... hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,ham
aathi..where are you dear..,ham
"it‘s £6 to get in, is that ok?",ham
dear 0776xxxxxxx u've been invited to xchat. this is our final attempt to contact u! txt chat to 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18yrs ,spam
sorry. || mail? || ,ham
i anything lor...,ham
hey what's up charles sorry about the late reply.,ham
for many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,ham
wot u up 2 j?,ham
update your face book status frequently :),ham
but that's on ebay it might be less elsewhere.,ham
glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,ham
how are you. just checking up on you,ham
"haha i heard that, text me when you're around",ham
send me your resume:-),ham
"nothing, i got msg frm tht unknown no..",ham
"true. it is passable. and if you get a high score and apply for phd, you get 5years of salary. so it makes life easier.",ham
i thought we were doing a king of the hill thing there.,ham
i dont thnk its a wrong calling between us,ham
thanx a lot...,ham
"men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. but the law allows only one wife....",ham
"i got arrested for possession at, i shit you not,  &lt;time&gt;  pm",ham
"my planning usually stops at ""find hella weed, smoke hella weed""",ham
"no i'm good for the movie, is it ok if i leave in an hourish?",ham
i'm in chennai velachery:),ham
miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though i am miles away from u.. :-)keep smiling.. good nyt,ham
"im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! u 4give me? i think u shldxxxx",ham
"whenevr ur sad, whenevr ur gray, remembr im here 2 listn 2 watevr u wanna say, jus walk wid me a little while,&amp; i promise i'll bring back ur smile.:-)",ham
"sms services. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with stop, no extra charge. help 08702840625.comuk. 220-cm2 9ae",spam
yes. please leave at  &lt;#&gt; . so that at  &lt;#&gt;  we can leave,ham
"think i might have to give it a miss. am teaching til twelve, then have lecture at two. damn this working thing.",ham
after completed degree. there is no use in joining finance.,ham
oh god i am happy to see your message after 3 days,ham
"nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? it is very champlaxigating, i think it is atrocious.. wotz ur opinion???? junna",ham
private! your 2003 account statement for 07808247860 shows 800 un-redeemed s. i. m. points. call 08719899229 identifier code: 40411 expires 06/11/04,spam
but i dint slept in afternoon.,ham
ball is moving a lot.will spin in last :)so very difficult to bat:),ham
* thought i didn't see you.,ham
if i die i want u to have all my stuffs.,ham
hi darlin how was work did u get into trouble? ijust talked to your mum all morning! i had a really good time last night im goin out soon but call me if u can,ham
"oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",ham
same as u... dun wan... y u dun like me already ah... wat u doing now? still eating?,ham
even if he my friend he is a priest call him now,ham
"hmm... dunno leh, mayb a bag 4 goigng out dat is not too small. or jus anything except perfume, smth dat i can keep.",ham
"i know you are thinkin malaria. but relax, children cant handle malaria. she would have been worse and its gastroenteritis. if she takes enough to replace her loss her temp will reduce. and if you give her malaria meds now she will just vomit. its a self limiting illness she has which means in a few days it will completely stop",ham
i like you peoples very much:) but am very shy pa.,ham
but i haf enuff space got like 4 mb...,ham
ranjith cal drpd deeraj and deepak 5min hold,ham
"yeah i should be able to, i'll text you when i'm ready to meet up",ham
i had askd u a question some hours before. its answer,ham
just re read it and i have no shame but tell me how he takes it and if he runs i will blame u 4 ever!! not really 4 ever just a long time ,ham
have a safe trip to nigeria. wish you happiness and very soon company to share moments with,ham
s.i think he is waste for rr..,ham
i'm stuck in da middle of da row on da right hand side of da lt... ,ham
"we are at grandmas. oh dear, u still ill? i felt shit this morning but i think i am just hungover! another night then. we leave on sat.",ham
arr birthday today:) i wish him to get more oscar.,ham
do you think i can move  &lt;#&gt;  in a week,ham
"hi this is yijue, can i meet u at 11 tmr?",ham
is ur changes 2 da report big? cos i've already made changes 2 da previous report.,ham
i think if he rule tamilnadu..then its very tough for our people.,ham
what time. i‘m out until prob 3 or so,ham
"i've got  &lt;#&gt; , any way i could pick up?",ham
"forgot it takes me 3 years to shower, sorry. where you at/your phone dead yet?",ham
why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham
yo guess what i just dropped,ham
i'm going for bath will msg you next  &lt;#&gt;  min..,ham
you still at grand prix?,ham
im on gloucesterroad what are uup to later?,ham
;-) ok. i feel like john lennon.,ham
"how's my loverboy doing ? what does he do that keeps him from coming to his queen, hmmm ? doesn't he ache to speak to me ? miss me desparately ?",ham
urgent! please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. t &cs sae po box 177 m227xy. 16+,spam
"fr'ndship is like a needle of a clock. though v r in d same clock, v r nt able 2 met. evn if v meet,itz only 4few seconds. bt v alwys stay conected. gud 9t;-)",ham
i cant pick the phone right now. pls send a message,ham
"fuck babe ... i miss you already, you know ? can't you let me send you some money towards your net ? i need you ... i want you ... i crave you ...",ham
"double mins & 1000 txts on orange tariffs. latest motorola, sonyericsson & nokia with bluetooth free! call mobileupd8 on 08000839402 or call2optout/hf8",spam
i called but no one pick up e phone. i ask both of them already they said ok.,ham
… and don‘t worry we‘ll have finished by march … ish!,ham
hows the champ just leaving glasgow!,ham
long after i quit. i get on only like 5 minutes a day as it is.,ham
"sorry my roommates took forever, it ok if i come by now?",ham
"i think i‘m waiting for the same bus! inform me when you get there, if you ever get there.",ham
"hello.how u doing?what u been up 2?when will u b moving out of the flat, cos i will need to arrange to pick up the lamp, etc. take care. hello caroline!",ham
how are you enjoying this semester? take care brother.,ham
:-) :-),ham
no..jst change tat only..,ham
